Counters: {"aborted": "0", "completed": "0", "disconnected": "0", "error": "0", "executed": "151", "failed": "0", "inProgress": "0", "inconclusive": "0", "notExecuted": "0", "notRunnable": "0", "passed": "151", "passedButRunAborted": "0", "pending": "0", "timeout": "0", "total": "151", "warning": "0"}
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("stop").It_accepts_the_default_tenant_and_ordinary_named_tenants("omitted")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("stop").It_rejects_the_reserved_binding_token_with_translation_guidance("DEFAULT")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("stop").It_rejects_the_reserved_binding_token_with_translation_guidance("Default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("stop").It_rejects_the_reserved_binding_token_with_translation_guidance("default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_accepts_the_defined_durability_profiles("local")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_accepts_the_defined_durability_profiles("production")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_does_not_apply_document_cache_status_timeout_overrides_to_the_cdc_status_verb
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_does_not_expose_secret_bearing_cdc_options
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_does_not_report_a_bare_cdc_group_as_a_verb
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_does_not_report_the_document_cache_commands_as_cdc_commands
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_exposes_confirmation_only_for_replace_source_and_retire
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_exposes_connector_already_absent_only_for_retire
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_exposes_exactly_the_cdc_verbs
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_exposes_previous_generation_only_for_replace_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_exposes_the_adopted_binding_record_only_for_adopt
